,rep,exp,start,time_win,h,nest_focus,max_gap,GC,ants,cMOD_communities,cmpMOD_communities,c3pMOD_communities,cMODres09_communities,MOD,cMOD,c3pMOD,cmpMOD,DEN,wDEN,DIA,wDIA,RAD,wRAD,DEH,cDEH,wDEH,cwDEH,CLS
31,13,DEHa,2021-09-13 00:00:00,10800,0,False,10,177,177,"[92, 76, 5, 4]","[91, 76, 5, 4, 1]","[92, 76, 9]","[97, 80]",0.21298590955849642,0.21298590955849642,0.21280161347409607,0.21282483409701344,0.7319594247560349,0.0003980780022446689,2,0.2709447415329769,1,0.1607142857142857,25.883874811599135,25.883874811599135,320.3400676552749,320.3400676552749,0.05852115022974003
75,13,DEHb,2021-09-11 00:00:00,10800,0,False,10,186,186,"[91, 68, 25, 2]","[90, 68, 25, 2, 1]","[93, 68, 25]","[107, 69, 10]",0.2416118930032109,0.2416118930032109,0.2415990027032497,0.24131399513811463,0.7060156931124673,0.0004142475809142476,2,0.22766122766122765,2,0.13397435897435897,28.531828014532294,28.531828014532294,293.72398840068746,293.72398840068746,0.019165921444890974
37,13,DEHa,2021-09-13 03:00:00,10800,3,False,10,177,177,"[105, 72]","[104, 70, 1, 1, 1]","[105, 71, 1]","[106, 71]",0.2150469731245717,0.2150469731245717,0.2149241939631891,0.21454148362602166,0.7156522855675398,0.0003981850044703152,2,0.24835164835164836,1,0.13846153846153847,27.749244242579746,27.749244242579746,301.0422011006092,301.0422011006092,0.05110003468016133
81,13,DEHb,2021-09-11 03:00:00,10800,3,False,10,186,186,"[104, 72, 10]","[103, 71, 10, 1, 1]","[104, 72, 10]","[116, 70]",0.22913056501000842,0.22913056501000842,0.22913056501000842,0.2288822086532498,0.7561755303690788,0.00046088023507378346,2,0.3133116883116883,2,0.18055555555555555,27.672222152005116,27.672222152005116,314.50927094811306,314.50927094811306,0.0546025245614127
43,13,DEHa,2021-09-13 06:00:00,10800,6,False,10,177,177,"[91, 72, 14]","[91, 72, 12, 1, 1]","[91, 72, 14]","[100, 77]",0.24997099289443633,0.24997099289443633,0.24997099289443633,0.24943749598923867,0.7200179763739086,0.0004277948981338812,2,0.24139492753623187,2,0.14285714285714285,27.263252624410416,27.263252624410416,324.8986533104052,324.8986533104052,0.045375875671923006
87,13,DEHb,2021-09-11 06:00:00,10800,6,False,10,186,186,"[76, 62, 48]","[76, 62, 46, 1, 1]","[76, 62, 48]","[112, 74]",0.22942301209680255,0.22942301209680255,0.22942301209680255,0.2285220437473031,0.7306596919500146,0.0004389819927454336,2,0.2365759305562108,2,0.14358974358974358,28.747369643456164,28.747369643456164,305.8479366323012,305.8479366323012,0.05931358387843823
25,13,DEHa,2021-09-12 21:00:00,10800,21,False,10,177,177,"[86, 73, 18]","[84, 73, 18, 1, 1]","[86, 73, 18]","[104, 73]",0.22463937113273552,0.22463937113273552,0.22463937113273552,0.22410927923187726,0.7173857216230097,0.0003918897068614583,2,0.2966381470918676,2,0.16585588324718759,27.985069182733376,27.985069182733376,317.6135534047523,317.6135534047523,0.05320732136254124
69,13,DEHb,2021-09-10 21:00:00,10800,21,False,10,186,186,"[85, 70, 31]","[85, 69, 30, 1, 1]","[85, 70, 31]","[114, 72]",0.22097902261994481,0.22097902261994481,0.22097902261994481,0.2202548627542528,0.7419354838709677,0.0004567363061986718,2,0.2607254486791692,2,0.1553030303030303,29.10359813168969,29.10359813168969,339.0435459824863,339.0435459824863,0.04831051818562265
999,24,DEHa,2021-10-14 00:00:00,10800,0,False,10,181,181,"[103, 78]","[101, 77, 1, 1, 1]","[102, 78, 1]","[103, 78]",0.26108154124012867,0.26108154124012867,0.2610570928884336,0.26075888502479816,0.7235113566605279,0.0004581599708978469,2,0.3188061938061938,2,0.1693452380952381,30.107198359508978,30.107198359508978,331.797036093091,331.797036093091,0.04945250606424906
1043,24,DEHb,2021-10-12 00:00:00,10800,0,False,10,182,182,"[104, 78]","[102, 77, 1, 1, 1]","[103, 78, 1]","[105, 77]",0.24895379711096904,0.24895379711096904,0.24891365825288744,0.2485228994966274,0.7524133325238298,0.0004922737381300918,2,0.1805925984376233,1,0.11919254658385092,25.70218791213299,25.70218791213299,316.6623325346332,316.6623325346332,0.06444839228073115
