,exp,time_win (h),link_type,pv/effect,c3pMOD,wDIA,cwDEH,wDEN,CLS,c3pMOD_std_error,wDIA_std_error,cwDEH_std_error,wDEN_std_error,CLS_std_error
0,MOD,1,#inter,pv,6.818366643290038e-08,0.8225081310616694,0.11786317517925109,3.597465183252976e-06,0.44721631257677075,,,,,
1,MOD,1,#inter,effect,-0.08068102832347467,0.00352311848330139,0.022405646277567942,0.04803073127268558,0.012330486539100703,0.014528867960337314,0.016546310696996882,0.01210276595673907,0.01221971646338713,0.01325385597226633
2,MOD,2,#inter,pv,0.0003070343719346597,0.041527395147912004,0.14983613391941075,0.0005661292437798446,0.14983613391941075,,,,,
3,MOD,2,#inter,effect,-0.08519581720264602,0.05446165305394828,0.022826583318646863,0.04733100828934538,0.031930961458788897,0.021418822552249386,0.026095218077927067,0.015148570262396242,0.014780898269936263,0.022002031702681904
4,MOD,3,#inter,pv,0.008904437277479263,0.30574595420308187,0.30574595420308187,0.008904437277479263,0.008904437277479263,,,,,
5,MOD,3,#inter,effect,-0.07361658339331917,0.0266216121920237,0.019822333977369624,0.04755349318303309,0.07782298765776756,0.027231700234646935,0.02617913342308953,0.016688496206730425,0.01737115570525177,0.02628013185505831
6,MOD,4,#inter,pv,0.1669864667658809,0.668212735083923,0.31184087356073875,0.03627005509933601,0.03627005509933601,,,,,
7,MOD,4,#inter,effect,-0.04918624569179268,0.012491395264417572,0.022277402790026365,0.04738725912564372,0.08271998240708402,0.03185023161198212,0.031166463436210712,0.01882488430362641,0.018762581543483377,0.029778161934960815
8,MOD,6,#inter,pv,0.38128809267138786,0.4921798146363126,0.38128809267138786,0.09137911178986377,0.01261173565969384,,,,,
9,MOD,6,#inter,effect,-0.037329479539461065,0.026194619258384042,0.024116018641077742,0.048828127536736196,0.13002317858141446,0.03871873998485649,0.039223297215396954,0.021400534634283847,0.022563232645542428,0.0435199710029186
10,DIA,1,#inter,pv,0.07970706402829661,0.6152134242943152,0.8759270449728995,0.8759270449728995,1.477319789477437e-06,,,,,
11,DIA,1,#inter,effect,-0.029255659468207428,0.016011437823564123,-0.001698763402976176,-0.02881602665827774,-0.07532630984563442,0.013934754606756439,0.018169776966090262,0.011250210864570924,0.015445134052511224,0.015666850458958027
12,DIA,2,#inter,pv,0.005923316456349971,0.9593912257356096,0.697211361757577,0.43103241575036944,0.03087911236247972,,,,,
