,exp,time_win,link_type,pv/effect,cMOD,partition,wDIA,cwDEH,wDEN
0,DIA,1,#inter,pv,0.01471138671623582,0.5051923178743503,0.01152206015454512,0.35598445722741134,0.013932324432932495
1,DIA,1,#inter,effect,0.015314383223520966,-0.06818181818181818,-0.17091228593485264,1.939617278026185,1.5389759178362812e-05
2,DIA,2,#inter,pv,0.03183360694608476,0.7149669988322074,0.21170848373850384,0.21170848373850384,0.07118915692236659
3,DIA,2,#inter,effect,0.017079116638834123,-0.045454545454545456,-0.13223033645398558,5.626358556127214,1.5409552065536936e-05
4,DIA,4,#inter,pv,0.01932712919144728,0.3534793838496648,0.00039139582170625133,0.3529538055110651,0.16898689358630076
5,DIA,4,#inter,effect,0.017534573008389467,-0.15151515151515152,-0.31735421173789335,10.123677897030035,1.5422602816559323e-05
6,DIA,6,#inter,pv,0.12645718114520896,0.6744240722352935,0.05117455167425866,0.5599810954299028,0.27761946552099026
7,DIA,6,#inter,effect,0.013442020150307018,-0.09090909090909091,-0.24410044805313147,11.902979304669424,1.5431390562480694e-05
8,DEH,1,#inter,pv,0.9255557812339604,0.8125218040343081,0.7184275691365205,0.21862919962557517,0.9255557812339604
9,DEH,1,#inter,effect,0.0005579530186525355,-0.08333333333333333,-0.06188660224979116,-5.273399304247528,-1.24339328118459e-06
10,DEH,2,#inter,pv,0.941690978053988,0.4485870607513171,0.8420773425815957,0.4219993675231837,0.941690978053988
11,DEH,2,#inter,effect,0.0004376971046733089,-0.2222222222222222,-0.050934500834143956,-10.520993212709781,-1.261299253591078e-06
12,DEH,4,#inter,pv,0.9216998708942243,0.9216998708942243,0.9216998708942243,0.9216998708942243,0.9216998708942243
13,DEH,4,#inter,effect,-0.0037168195356061615,-0.037037037037037035,0.0448344422058101,-19.6418760461948,-1.2466678165585397e-06
14,DEH,6,#inter,pv,0.8074012910654332,0.2288213128548764,0.9350612567013475,0.7984599153837395,0.9350612567013475
15,DEH,6,#inter,effect,-0.0035941121876534774,0.3888888888888889,-0.018766138149953107,-28.64956967507673,-1.2608194786327802e-06
16,DEN,1,#inter,pv,0.21812839194280825,0.9333706435890267,0.5068627057029969,0.9333706435890267,0.32649309450789615
17,DEN,1,#inter,effect,0.009653191788664747,0.007575757575757576,0.06468788991521672,-0.28424442368731734,-8.977343052772298e-06
18,DEN,2,#inter,pv,0.8747270497372911,0.8747270497372911,0.8747270497372911,0.8747270497372911,0.8747270497372911
19,DEN,2,#inter,effect,0.0013267962032531585,0.07575757575757576,0.030593525945225644,0.7147833227891243,-8.947926404882068e-06
20,DEN,4,#inter,pv,0.9702758492443669,0.5519954368690038,0.5519954368690038,0.8330003261346308,0.5519954368690038
21,DEN,4,#inter,effect,0.00018893872879364372,0.2727272727272727,-0.0991401798842391,4.714760253407161,-8.938253992113054e-06
22,DEN,6,#inter,pv,0.9538431300092562,0.9538431300092562,0.9538431300092562,0.9538431300092562,0.9538431300092562
23,DEN,6,#inter,effect,-0.0002739369390821528,0.045454545454545456,-0.08430445485338066,4.709013792071209,-8.942597215679889e-06
24,MOD,1,#inter,pv,9.62602891198087e-05,1.5172535204960689e-05,0.8984786659797539,0.05082940821545055,1.628192066508395e-05
25,MOD,1,#inter,effect,-0.02223498721657977,0.45454545454545453,-0.0067133598414948065,4.455319171854108,2.5304074372660134e-05
26,MOD,2,#inter,pv,0.0018593666561259655,0.006082454836660798,0.11293411777109687,0.12046288324586929,0.0008191820053436147
27,MOD,2,#inter,effect,-0.01917900637829256,0.3484848484848485,0.12645825247249437,7.809149089682047,2.5316213642875614e-05
28,MOD,4,#inter,pv,0.12265269195879154,0.39926914146284803,0.12265269195879154,0.21056003781674978,0.008516147882222198
29,MOD,4,#inter,effect,-0.01095149564368571,-0.15151515151515152,0.17289393638790665,14.516953156761366,2.5315481511085525e-05
30,MOD,6,#inter,pv,0.29828110364186916,0.18409491157456773,0.29828110364186916,0.29828110364186916,0.06147284610122306
