G6,density,degree_heterogeneity,diameter,meshedness,entrance_degree,entrance_centrality,clustering,modularity
M[E?OI??K?Og?A??_,0.16483516483516483,1.5510204081632655,6,0.08695652173913043,6,0.8589743589743589,0.17142857142857143,0.44
M[E?GE??K?O_?A?P?,0.16483516483516483,1.5510204081632655,5,0.08695652173913043,6,0.8205128205128205,0.052380952380952375,0.3933333333333332
M[E?OE??K?O_?A?O_,0.16483516483516483,1.2653061224489797,6,0.08695652173913043,6,0.75,0.1476190476190476,0.42444444444444446
M[E?GI??K?Og?A?@?,0.16483516483516483,2.122448979591837,4,0.08695652173913043,6,0.8205128205128205,0.1238095238095238,0.39333333333333326
M[AG?M??K?Og?@?O?,0.16483516483516483,2.5510204081632653,5,0.08695652173913043,6,0.7051282051282051,0.06428571428571428,0.3711111111111111
M[AGGE??K?O_?@?P?,0.16483516483516483,2.122448979591837,5,0.08695652173913043,6,0.7051282051282051,0.028571428571428574,0.3711111111111111
M[A?WI??K?Og???@_,0.16483516483516483,2.122448979591837,5,0.08695652173913043,6,0.7051282051282051,0.1238095238095238,0.39111111111111113
M[E??M??K?Og?A?O?,0.16483516483516483,1.9795918367346939,5,0.08695652173913043,6,0.8205128205128205,0.11190476190476188,0.35999999999999993
M[A?WE??K?O_???P_,0.16483516483516483,1.836734693877551,5,0.08695652173913043,6,0.7051282051282051,0.052380952380952375,0.3844444444444444
M[A?OM??K?Og???O_,0.16483516483516483,1.9795918367346939,6,0.08695652173913043,6,0.7051282051282051,0.11190476190476188,0.39111111111111113
M[AGOI??K?Og?@??_,0.16483516483516483,2.122448979591837,5,0.08695652173913043,6,0.7051282051282051,0.1238095238095238,0.39111111111111113
MUE?OI??C?og?A??_,0.16483516483516483,1.836734693877551,6,0.08695652173913043,6,0.8076923076923077,0.17142857142857143,0.4822222222222222
M[AGOE??K?O_?@?O_,0.16483516483516483,1.5510204081632655,6,0.08695652173913043,6,0.7051282051282051,0.052380952380952375,0.3711111111111111
M[AGGI??K?Og?@?@?,0.16483516483516483,2.979591836734694,4,0.08695652173913043,6,0.7051282051282051,0.10476190476190475,0.3777777777777778
MUE?GI??C?og?A?@?,0.16483516483516483,2.4081632653061225,4,0.08695652173913043,6,0.7948717948717948,0.1238095238095238,0.4466666666666666
MUE?GE??C?o_?A?P?,0.16483516483516483,1.836734693877551,5,0.08695652173913043,6,0.7948717948717948,0.052380952380952375,0.4466666666666666
MUE??M??C?og?A?O?,0.16483516483516483,2.2653061224489797,5,0.08695652173913043,6,0.7948717948717948,0.11190476190476188,0.4466666666666666
MUAGOI??C?og?@??_,0.16483516483516483,2.122448979591837,5,0.08695652173913043,6,0.7051282051282051,0.1238095238095238,0.39111111111111113
MUAGOE??C?o_?@?O_,0.16483516483516483,1.5510204081632655,6,0.08695652173913043,6,0.7051282051282051,0.052380952380952375,0.3711111111111111
MUE?OE??C?o_?A?O_,0.16483516483516483,1.5510204081632655,5,0.08695652173913043,6,0.6602564102564102,0.1476190476190476,0.45777777777777773
MUAGGI??C?og?@?@?,0.16483516483516483,2.979591836734694,4,0.08695652173913043,6,0.7051282051282051,0.10476190476190475,0.37777777777777777
MUAG?M??C?og?@?O?,0.16483516483516483,2.5510204081632653,5,0.08695652173913043,6,0.7051282051282051,0.06428571428571428,0.3711111111111111
MUAGGE??C?o_?@?P?,0.16483516483516483,2.122448979591837,5,0.08695652173913043,6,0.7051282051282051,0.028571428571428574,0.3711111111111111
MUA?WI??C?og???@_,0.16483516483516483,2.122448979591837,5,0.08695652173913043,6,0.7051282051282051,0.1238095238095238,0.39111111111111113
MUA?OM??C?og???O_,0.16483516483516483,1.9795918367346939,6,0.08695652173913043,6,0.7051282051282051,0.11190476190476188,0.39111111111111113
MUA?WE??C?o_???P_,0.16483516483516483,1.836734693877551,5,0.08695652173913043,6,0.7051282051282051,0.052380952380952375,0.3844444444444444
M[COOE??K??`?A?O_,0.16483516483516483,0.5510204081632653,6,0.08695652173913043,4,0.5705128205128205,0.0,0.40222222222222226
M[COOI??K??h?A??_,0.16483516483516483,0.8367346938775511,6,0.08695652173913043,4,0.6282051282051282,0.11904761904761904,0.4711111111111111
M[COGI??K??h?A?@?,0.16483516483516483,1.4081632653061225,5,0.08695652173913043,4,0.5641025641025641,0.09523809523809525,0.4266666666666666
M[COGE??K??`?A?P?,0.16483516483516483,0.8367346938775511,6,0.08695652173913043,4,0.5641025641025641,0.0,0.3977777777777778
M[CO?M??K??h?A?O?,0.16483516483516483,1.2653061224489797,6,0.08695652173913043,4,0.5641025641025641,0.05952380952380952,0.4266666666666666
M[CGOI??K??g?B??_,0.16483516483516483,0.8367346938775511,6,0.08695652173913043,4,0.5769230769230769,0.11904761904761904,0.4711111111111111
M[CGOE??K??_?B?O_,0.16483516483516483,0.5510204081632653,6,0.08695652173913043,4,0.5641025641025641,0.0,0.3933333333333333
M[CG?M??K??g?B?O?,0.16483516483516483,0.9795918367346939,7,0.08695652173913043,4,0.5512820512820512,0.05952380952380952,0.38444444444444437
M[CGGI??K??g?B?@?,0.16483516483516483,1.1224489795918366,6,0.08695652173913043,4,0.5512820512820512,0.09523809523809525,0.4266666666666666
M[CGGE??K??_?B?P?,0.16483516483516483,0.5510204081632653,7,0.08695652173913043,4,0.5512820512820512,0.0,0.42666666666666664
M[C?WI??K??g?A?@_,0.16483516483516483,0.5510204081632653,7,0.08695652173913043,4,0.5897435897435898,0.11904761904761904,0.44444444444444436
M[C?WE??K??_?A?P_,0.16483516483516483,0.5510204081632653,6,0.08695652173913043,4,0.5705128205128205,0.0,0.4266666666666666
M[C?OM??K??g?A?O_,0.16483516483516483,0.6938775510204082,7,0.08695652173913043,4,0.5705128205128205,0.1547619047619048,0.44444444444444436
M[?WOI??K??h?@??_,0.16483516483516483,1.1224489795918366,6,0.08695652173913043,4,0.5256410256410257,0.09523809523809525,0.39111111111111113
M[?W?M??K??h?@?O?,0.16483516483516483,1.5510204081632653,6,0.08695652173913043,4,0.5256410256410257,0.03571428571428571,0.38444444444444437
M[?WGE??K??`?@?P?,0.16483516483516483,1.1224489795918366,6,0.08695652173913043,4,0.5256410256410257,0.0,0.38444444444444437
M[?WOE??K??`?@?O_,0.16483516483516483,0.5510204081632653,7,0.08695652173913043,4,0.5256410256410257,0.0,0.38444444444444437
M[?WGI??K??h?@?@?,0.16483516483516483,1.9795918367346939,5,0.08695652173913043,4,0.5256410256410257,0.08571428571428573,0.3777777777777778
M[?OWI??K??h???@_,0.16483516483516483,1.1224489795918366,6,0.08695652173913043,4,0.5256410256410257,0.09523809523809525,0.39111111111111113
M[?OWE??K??`???P_,0.16483516483516483,0.8367346938775511,6,0.08695652173913043,4,0.5256410256410257,0.0,0.4
M[?OOM??K??h???O_,0.16483516483516483,0.9795918367346939,7,0.08695652173913043,4,0.5256410256410257,0.05952380952380952,0.4
MUCOOI??C?_h?A??_,0.16483516483516483,1.4081632653061225,6,0.08695652173913043,4,0.5,0.11904761904761904,0.48
MUCOGI??C?_h?A?@?,0.16483516483516483,1.9795918367346939,4,0.08695652173913043,4,0.41025641025641024,0.09523809523809525,0.45333333333333325
MUCOOE??C?_`?A?O_,0.16483516483516483,1.1224489795918366,5,0.08695652173913043,4,0.42948717948717946,0.0,0.3977777777777778
MUCOGE??C?_`?A?P?,0.16483516483516483,1.4081632653061225,5,0.08695652173913043,4,0.41025641025641024,0.0,0.45333333333333325
MUCO?M??C?_h?A?O?,0.16483516483516483,1.836734693877551,5,0.08695652173913043,4,0.41025641025641024,0.05952380952380952,0.45333333333333325
MUCGOI??C?_g?B??_,0.16483516483516483,1.1224489795918366,5,0.08695652173913043,4,0.4487179487179487,0.11904761904761904,0.48
MUCGOE??C?__?B?O_,0.16483516483516483,0.8367346938775511,5,0.08695652173913043,4,0.4230769230769231,0.0,0.4066666666666667
MUCGGI??C?_g?B?@?,0.16483516483516483,1.4081632653061225,5,0.08695652173913043,4,0.3974358974358974,0.09523809523809525,0.45333333333333325
MUCGGE??C?__?B?P?,0.16483516483516483,0.8367346938775511,6,0.08695652173913043,4,0.3974358974358974,0.0,0.4066666666666667
