,rep,exp,start,time_win,h,max_gap,GC,ants,cMOD_communities,cmpMOD_communities,c3pMOD_communities,cMODres09_communities,MOD,cMOD,c3pMOD,cmpMOD,DEN,wDEN,DIA,wDIA,RAD,wRAD,DEH,cDEH,wDEH,cwDEH,CLS
162,14,MODa,2021-09-13 09:00:00,21600,9,10,161,176,"[49, 50, 19, 43]","[79, 41, 21, 20]","[99, 41, 21]","[104, 40, 17]",0.13850009599505156,0.13079367798327968,0.13317330415759454,0.13512241846502143,0.5413636363636364,0.00019695767195767195,3,2.1433712121212123,2,1.0767045454545454,46.284567995219874,37.78523531171186,528.6292415294484,499.0312540392686,0.038463298687928596
218,14,MODb,2021-09-11 09:00:00,21600,9,10,183,185,"[27, 42, 64, 50]","[60, 57, 48, 18]","[78, 57, 48]","[27, 55, 60, 41]",0.1355821035506728,0.13893880225108357,0.12915999071936451,0.13422271779605868,0.5940070505287897,0.00021513633198415807,3,2.06738903524032,2,1.04,44.71668463322488,43.46782854716933,573.5583041836529,569.6376435420412,0.04292190439366783
163,14,MODa,2021-09-13 15:00:00,21600,15,10,172,176,"[13, 21, 20, 16, 102]","[103, 38, 19, 12]","[103, 50, 19]","[41, 114, 17]",0.14496747459874526,0.14133921063297156,0.13789403503435044,0.14284997270162042,0.5676623376623376,0.00020628908128908128,4,2.405591397849462,2,1.3333333333333333,42.915319992779324,40.61669018893257,547.3224956606465,540.4248571544381,0.03778702233041257
219,14,MODb,2021-09-11 15:00:00,21600,15,10,183,185,"[42, 34, 42, 24, 41]","[67, 60, 46, 10]","[70, 67, 46]","[37, 94, 52]",0.09317080538315478,0.09844070373766577,0.09548444440876402,0.09592886220521353,0.7203290246768508,0.0002910682421551987,3,2.039541759053954,2,1.025,43.00219642070755,40.93056750116752,683.4376584927253,676.3182938016253,0.04791286690962813
498,17,MODa,2021-10-01 09:00:00,21600,9,10,185,189,"[95, 74, 16]","[108, 75, 1, 1]","[109, 75, 1]","[75, 110]",0.1958156094342742,0.19410747753432728,0.19639037763210523,0.1963828470026956,0.745694022289767,0.000347000721311202,3,1.5476190476190477,2,1.0,39.53707943232268,34.10063909312452,626.2451093492443,597.3300658737897,0.050592222832088814
554,17,MODb,2021-10-03 09:00:00,21600,9,10,178,179,"[96, 13, 69]","[97, 66, 14, 1]","[98, 66, 14]","[100, 78]",0.19663449629085739,0.19288647223185915,0.19482536823871788,0.19478990483239045,0.7691293704098927,0.0003406385639924024,3,0.6805555555555556,2,0.375,33.43779227720517,31.913603622906244,574.3917671114392,567.5287432232375,0.04677477594306755
499,17,MODa,2021-10-01 15:00:00,21600,15,10,187,189,"[41, 104, 42]","[112, 59, 15, 1]","[113, 59, 15]","[118, 69]",0.16398622200156943,0.16731135243714423,0.16328530971372426,0.16328233977216927,0.76978498255094,0.0003832096055303305,3,2.083823529411765,2,1.0555555555555556,39.24419126404546,36.47170399911635,704.2139166012107,689.2351492533477,0.06500348163986264
555,17,MODb,2021-10-03 15:00:00,21600,15,10,177,179,"[27, 48, 102]","[95, 47, 34, 1]","[96, 47, 34]","[106, 26, 45]",0.19374307849982436,0.19374307849982436,0.1894916748289418,0.18948398879046374,0.7580189567509886,0.0003856561979090383,3,1.5678160919540232,2,1.0,36.580366552674874,33.84092412756187,665.8165634311912,650.5360159981121,0.06387872536425376
1058,22,MODa,2021-10-11 09:00:00,21600,9,10,175,180,"[43, 35, 51, 46]","[51, 50, 38, 36]","[74, 51, 50]","[82, 40, 53]",0.14028743606223576,0.141882073952319,0.12864154112603188,0.1407432686086565,0.6749224084419615,0.0002778927282341311,5,3.171586951415061,3,2.0,42.23621259441935,37.49589757151944,650.0006001896564,632.9661125145933,0.03405498081054413
1114,22,MODb,2021-10-09 09:00:00,21600,9,10,169,177,"[51, 48, 44, 26]","[66, 57, 44, 2]","[66, 57, 46]","[59, 37, 73]",0.13795692089052103,0.14086196070065476,0.1276287017271271,0.1276260000378066,0.5848741653826399,0.000249841280031958,3,2.060123784261715,2,1.0344827586206897,46.17727547757766,41.327236518724185,662.1625104692918,643.8086518498892,0.05328115143908233
1059,22,MODa,2021-10-11 15:00:00,21600,15,10,175,180,"[15, 46, 34, 45, 35]","[59, 40, 38, 38]","[76, 59, 40]","[31, 43, 36, 65]",0.15596073364526897,0.1563477628740531,0.1458246717743361,0.15930176696502646,0.6008690254500311,0.0002375020116329862,4,3.0573300573300575,2,2.0,43.346308598723866,39.90766894741319,548.5302995333739,533.5742321593967,0.04396621846386772
1115,22,MODb,2021-10-09 15:00:00,21600,15,10,163,177,"[71, 14, 41, 37]","[69, 46, 29, 19]","[69, 65, 29]","[71, 92]",0.10135258744641062,0.09900199789757153,0.09477447063932593,0.09844574034647131,0.5643297380585516,0.0002544423757347486,4,2.4710875331564983,2,1.3333333333333333,48.418061955708986,40.31870474731343,718.396143275279,687.8629835480659,0.04914031556414305
1618,27,MODa,2021-10-17 09:00:00,21600,9,10,172,185,"[7, 8, 40, 68, 49]","[69, 56, 46, 1]","[69, 57, 46]","[72, 100]",0.10695338503417007,0.1055335758853573,0.10667813071571856,0.10667039849760733,0.6665099882491187,0.00036298526787657224,3,2.0664488017429194,2,1.0333333333333334,49.367608109571094,37.399206529008865,916.9784287072353,857.4439945318811,0.04768498008816956
1674,27,MODb,2021-10-19 09:00:00,21600,9,10,164,184,"[6, 53, 59, 46]","[57, 49, 46, 12]","[61, 57, 46]","[84, 80]",0.0960769602659145,0.09345370433830444,0.09612419834993018,0.0963094933694387,0.5766215253029223,0.00027722231021708334,3,2.077021822849807,2,1.0416666666666667,50.59074461256413,36.715702793870484,853.9498411999643,808.6193004815328,0.0467025283367479
1619,27,MODa,2021-10-17 15:00:00,21600,15,10,172,185,"[64, 12, 57, 39]","[59, 55, 40, 18]","[73, 59, 40]","[78, 39, 55]",0.09760977270740998,0.09532069522103304,0.09283292468617445,0.09582045529174307,0.6641598119858989,0.0003557715324019672,4,2.083881578947368,2,1.0526315789473684,48.78747040049207,36.688698168275955,931.7533483895877,878.2070134912152,0.06468120429590125
1675,27,MODb,2021-10-19 15:00:00,21600,15,10,153,184,"[25, 13, 10, 28, 23, 22, 32]","[49, 43, 31, 30]","[61, 49, 43]","[10, 20, 88, 35]",0.1040546887456685,0.10312291788035019,0.09362962621763281,0.09699945123361166,0.4271798526966025,0.00019521659935059792,4,2.2666666666666666,2,1.2,50.22646727695343,39.303243214329854,682.2110860822587,643.910195500336,0.04788653594358665
1954,30,MODa,2021-10-25 09:00:00,21600,9,10,166,171,"[50, 35, 20, 9, 52]","[63, 51, 51, 1]","[64, 51, 51]","[58, 108]",0.1000581167469794,0.09341720131521684,0.09806894743298943,0.09806278921881917,0.7267285861713106,0.00034855521155830756,4,2.1180555555555554,2,1.0625,41.149877324441185,35.64739782907474,693.4406635264104,666.7204983830524,0.06839720859697432
2010,30,MODb,2021-10-23 09:00:00,21600,9,10,174,177,"[43, 44, 18, 42, 27]","[67, 49, 30, 28]","[67, 58, 49]","[45, 49, 80]",0.17340261774718518,0.17617677194472792,0.15817233532485447,0.16854483374780013,0.667116076014381,0.00029698467728128745,3,2.0890476190476193,2,1.0555555555555556,38.317797833660585,35.380591195175384,622.0249642979785,609.2863521351329,0.02945087888504129
1955,30,MODa,2021-10-25 15:00:00,21600,15,10,164,171,"[41, 21, 49, 11, 11, 31]","[63, 52, 33, 16]","[96, 52, 16]","[13, 55, 96]",0.10471115858984494,0.10131360760309725,0.09657499546750295,0.0998222061975855,0.73140694874441,0.0003208092853775688,3,1.2916666666666667,2,1.0,38.473681099439965,29.246376448982492,647.6687387737987,612.8779966085814,0.0518510832788648
2011,30,MODb,2021-10-23 15:00:00,21600,15,10,172,177,"[35, 34, 29, 20, 24, 30]","[70, 62, 39, 1]","[70, 63, 39]","[65, 70, 37]",0.1420110313503295,0.14507084243481355,0.1290721982002372,0.12906973945370875,0.6541474062660503,0.0002783544008826495,3,2.0979166666666664,2,1.060200668896321,41.04152584273193,36.563015607713595,620.8140521887897,602.5911859391508,0.0433281174071018
2290,33,MODa,2021-11-12 09:00:00,21600,9,10,159,165,"[21, 11, 39, 88]","[83, 40, 35, 1]","[84, 40, 35]","[93, 26, 40]",0.16858014709408392,0.17015893454551032,0.1540448640151374,0.15403843359690886,0.6774575018477458,0.00030037502395225974,3,2.0561290322580645,2,1.0399385560675882,38.019074039451084,31.88433369752042,576.717921765557,548.468683337701,0.03433582034883587
2346,33,MODb,2021-11-14 09:00:00,21600,9,10,159,163,"[36, 42, 41, 22, 18]","[64, 44, 28, 23]","[64, 51, 44]","[59, 42, 25, 33]",0.13719895534872364,0.13719895534872364,0.1327968406676746,0.13640041172060655,0.617208210255245,0.00025913723312041874,3,2.1055157261794637,2,1.0625,40.6183777394519,37.86185983760865,614.4283622013768,604.8256186328013,0.04743828642413387
2291,33,MODa,2021-11-12 15:00:00,21600,15,10,160,165,"[19, 31, 29, 81]","[80, 47, 32, 1]","[80, 47, 33]","[18, 29, 20, 93]",0.19073274979350038,0.19175820261471516,0.1814159540412289,0.18141034152631072,0.6846267553584626,0.0003195128794722291,3,2.0597643097643097,2,1.0344827586206897,37.280035745656534,32.04633120577144,597.6411708619768,571.8848593412401,0.03150375686127799
2347,33,MODb,2021-11-14 15:00:00,21600,15,10,157,163,"[48, 26, 15, 39, 29]","[65, 41, 40, 11]","[76, 41, 40]","[55, 30, 72]",0.12757158500146354,0.12692591449201637,0.12395360627470178,0.1243643759205179,0.5993334848140575,0.00024043357149469396,4,2.167224880382775,2,1.0909090909090908,41.51957330063596,37.626125814749194,570.5274696820358,556.6476499464635,0.030787010273148483
3074,40,MODa,2021-11-24 09:00:00,21600,9,10,172,179,"[32, 71, 31, 38]","[67, 49, 36, 20]","[69, 67, 36]","[2, 35, 135]",0.09456329505667294,0.0923777609072558,0.09002613698669558,0.09247056558702346,0.6421442470654698,0.0003587781334784034,4,3.28125,2,2.0,48.89880723643887,43.989271148808015,953.4376904029847,930.294077544246,0.06879457874297573
3130,40,MODb,2021-11-22 09:00:00,21600,9,10,170,178,"[18, 55, 45, 52]","[81, 54, 34, 1]","[82, 54, 34]","[29, 58, 83]",0.10803918091939138,0.11141073924736405,0.10672318307457213,0.10671794601377303,0.6640639878118454,0.0003155248500579549,4,2.116883116883117,2,1.0714285714285714,46.06103819927369,39.2520627364441,765.2305387444313,735.8206576855645,0.05193879045389605
3075,40,MODa,2021-11-24 15:00:00,21600,15,10,173,179,"[17, 47, 19, 55, 35]","[72, 40, 32, 29]","[101, 40, 32]","[116, 57]",0.09035443646195801,0.09204702433864213,0.08914983317823509,0.09092298151600249,0.6671269851233445,0.0003246930629078642,3,2.116883116883117,2,1.0714285714285714,47.43438203042213,42.68529428218612,833.8026311735547,814.5021738291687,0.053572329154468565
3131,40,MODb,2021-11-22 15:00:00,21600,15,10,172,178,"[60, 23, 47, 42]","[84, 52, 35, 1]","[85, 52, 35]","[119, 53]",0.09278364893288499,0.09616375871029781,0.09436002565145073,0.09435540828678184,0.7122452866120739,0.0003493690796109383,3,1.5462577962577964,2,1.0,41.97024032688913,35.34405567415979,864.1112561307409,841.6221818436916,0.056992616146420254
3410,44,MODa,2021-11-29 09:00:00,21600,9,10,162,169,"[49, 40, 47, 26]","[71, 50, 40, 1]","[71, 51, 40]","[30, 52, 80]",0.08420865032891327,0.08529805466019581,0.085094663912437,0.08509253299544163,0.7545787545787546,0.00048600675203239305,4,3.0353335363996345,2,2.0,42.923766192425525,34.60715364005837,1062.8298047503943,1018.9267748938788,0.09104493391057894
3466,44,MODb,2021-12-01 09:00:00,21600,9,10,163,167,"[44, 57, 36, 26]","[72, 45, 45, 1]","[73, 45, 45]","[35, 41, 87]",0.1158995810521966,0.11326049944645364,0.11136002899157708,0.11134845180505741,0.8075896399971142,0.000504285939499849,3,2.022222222222222,2,1.0142857142857142,35.22327425279276,28.622899096119554,1016.5021370577876,988.1456280084085,0.058033073816344434
3411,44,MODa,2021-11-29 15:00:00,21600,15,10,166,169,"[59, 22, 29, 56]","[47, 47, 40, 32]","[87, 47, 32]","[28, 84, 54]",0.09930330202564149,0.09896328599035605,0.09068412839746597,0.09956390498343552,0.7936038320653706,0.0004705550859397013,3,2.049346824737597,2,1.0297389816003424,36.40348352793635,31.970462398286116,962.9920760808923,943.6455715608352,0.08059314855327256
3467,44,MODb,2021-12-01 15:00:00,21600,15,10,160,167,"[10, 87, 38, 25]","[71, 51, 37, 1]","[71, 52, 37]","[125, 35]",0.11085054555785089,0.11184507058069673,0.10522133855974744,0.10521961207919182,0.8000144289733786,0.0005082071466170737,3,2.0,2,1.0,38.02524209231466,26.594689319486324,965.366113272292,906.1584621873538,0.06843021795732301
3858,48,MODa,2021-12-08 09:00:00,21600,9,10,157,162,"[37, 62, 31, 27]","[60, 48, 48, 1]","[60, 49, 48]","[48, 43, 66]",0.17079847534668813,0.17058175364548758,0.17321789153536016,0.1732145365237518,0.6917414308718657,0.0004178239853226434,3,2.076220847046984,2,1.046031746031746,41.9379154431247,37.51279387419226,737.2187888274508,701.0139832052395,0.05278155383388126
3914,48,MODb,2021-12-06 09:00:00,21600,9,10,160,171,"[33, 26, 36, 26, 39]","[56, 50, 39, 15]","[71, 50, 39]","[29, 37, 94]",0.18094106094807755,0.18185083099159102,0.17354795430742898,0.17802462122973767,0.6676986584107327,0.0003863216501675394,3,2.0707196029776673,2,1.0384615384615385,43.46018792813894,32.74068331220349,721.0759011246953,638.6207912368654,0.03425510403371371
3859,48,MODa,2021-12-08 15:00:00,21600,15,10,157,162,"[7, 81, 21, 20, 28]","[81, 56, 19, 1]","[82, 56, 19]","[90, 67]",0.12850501433666828,0.1319790774654277,0.13409788583362772,0.1340935630800891,0.7188099072157044,0.0004045858219234494,3,2.147619047619048,2,1.0833333333333333,40.177388255756526,35.00737767301686,717.5706098318811,682.8272598080625,0.04105595698102589
3915,48,MODb,2021-12-06 15:00:00,21600,15,10,165,171,"[45, 18, 35, 67]","[69, 48, 47, 1]","[69, 49, 47]","[66, 46, 35, 18]",0.1888515390551911,0.1875825222866853,0.17868606714450216,0.17868392000405797,0.6931544547643619,0.0003920453821554613,3,2.0606837606837605,2,1.0384615384615385,40.547814184183565,34.3602638503271,737.5118329709028,696.8511922969591,0.04235854657366016
3970,49,MODa,2021-12-10 09:00:00,21600,9,10,166,169,"[75, 45, 17, 29]","[64, 57, 44, 1]","[64, 57, 45]","[47, 119]",0.10703963362645691,0.10199222362378446,0.10583128231438013,0.10583074104185358,0.7172442941673711,0.0003747697577825783,3,2.073497910135841,2,1.0416666666666667,43.16503684057258,40.37015730478258,777.7852861826725,762.7935232192106,0.07070515961496887
