,exp,time_win (h),link_type,pv/effect,c3pMOD,wDIA,cwDEH,DEN,CLS,c3pMOD_std_error,wDIA_std_error,cwDEH_std_error,DEN_std_error,CLS_std_error
0,MOD,1,#inter,pv,2.573921455549488e-07,0.8339021882695203,0.07091987587990387,2.573921455549488e-07,0.3760594281362961,,,,,
1,MOD,1,#inter,effect,0.10075517644268661,0.004420620285246587,-0.03322158082838232,-0.0914158209469681,-0.018081512674759655,0.0206424449288276,0.022018103002805902,0.017020426556068037,0.01784302499647552,0.01712786663976168
2,MOD,2,#inter,pv,0.00032290742982968426,0.11946578551628989,0.12324583165748935,0.00032290742982968426,0.11251991544675116,,,,,
3,MOD,2,#inter,effect,0.10418012285264766,-0.05176111531142813,-0.031035428605072832,-0.07103461001252491,-0.05275548835307327,0.030136571917593655,0.031680322800088465,0.0211223146842177,0.019183947418157928,0.029760555000842202
4,MOD,3,#inter,pv,0.015346458158087715,0.3195089749025931,0.2841237773133726,0.008068151815493588,0.007896761818082836,,,,,
5,MOD,3,#inter,effect,0.08873718105283228,-0.034720306191861366,-0.027162336978167716,-0.05917378677594701,-0.10586176604865864,0.03872756731407892,0.0310580348504365,0.023576230975655546,0.021241324451796446,0.033709014391055725
6,MOD,4,#inter,pv,0.22757958054625443,0.3916545699356604,0.23669908280634938,0.021135817814726336,0.017987391615099158,,,,,
7,MOD,4,#inter,effect,0.05753005511464443,-0.03328220669049573,-0.029208300241761777,-0.052840766996069946,-0.10944814853254559,0.044141354857972166,0.03954225292220647,0.025287037832382696,0.021217841472758757,0.03528957014806136
8,MOD,6,#inter,pv,0.30107945152729143,0.10813081238886058,0.30107945152729143,0.10813081238886058,0.10185767571208576,,,,,
9,MOD,6,#inter,effect,0.04537336343475255,-0.10091310041287146,-0.030672356956883987,-0.04170936321513575,-0.12369628954650569,0.05079392665867116,0.05177933462844164,0.028203113700144698,0.023820728997789482,0.05817941306834125
10,DIA,1,#inter,pv,0.27032038407560166,0.0023477113068496066,0.28768928555265244,0.27032038407560166,1.1763377205398991e-06,,,,,
11,DIA,1,#inter,effect,0.02342490606380775,-0.0721862070142932,0.015464913683731438,0.02319345821199426,0.09675057357812865,0.019879717628352354,0.022245729540942748,0.016308028761619315,0.021227208497931707,0.020229708017282588
12,DIA,2,#inter,pv,0.08569735139256887,0.09751397643191904,0.2204280851190191,0.6136965263172824,0.014781343207541228,,,,,
13,DIA,2,#inter,effect,0.0528885383067773,-0.06111063610392291,0.02349464024688555,0.01038578440609911,0.0863300188407818,0.027482128280472022,0.03023583985809521,0.01973838767935904,0.023950640244899075,0.031225237269780184
14,DIA,3,#inter,pv,0.11226082911283522,0.1298915259877006,0.21804628774356277,0.6930425581185095,0.1298915259877006,,,,,
15,DIA,3,#inter,effect,0.07038890116293774,-0.0712012716999337,0.02510791251525001,0.008175261641289636,0.06662159219802131,0.0313971019349941,0.043502923311572184,0.020691664435982447,0.02366514451890062,0.036417873330468184
16,DIA,4,#inter,pv,0.04909765253145961,0.005168442762486253,0.353443685229399,0.6342545758691024,0.040792378976633424,,,,,
17,DIA,4,#inter,effect,0.08159922719442197,-0.1350720969110907,0.022374865364221702,0.010851343546840498,0.11912396724712888,0.038213837323879014,0.04313655376961328,0.023391600314055495,0.026215386938206558,0.04453333517551025
18,DIA,6,#inter,pv,0.16546434631331813,0.04420636572441275,0.534307339430146,0.6063661211667477,0.04420636572441275,,,,,
19,DIA,6,#inter,effect,0.0742859946697345,-0.11216631005317487,0.01904390760585052,0.012950696422352232,0.11086706201731712,0.044594219142975317,0.04576417019214792,0.025553608622479844,0.028364370680604177,0.04600794078626729
20,DEN,1,#inter,pv,0.046583876444953626,0.8014251921686734,0.870387214082963,0.0003358290570469071,0.029942738845510804,,,,,
21,DEN,1,#inter,effect,-0.039978122907430906,-0.011306679920876769,0.0024625433986657833,0.07099409166640192,-0.04674873551724653,0.018932092866459662,0.02493011244429403,0.016416122366868194,0.019868228015508808,0.018127976172159874
22,DEN,2,#inter,pv,0.9004275171891724,0.9004275171891724,0.9004275171891724,0.011128555939008335,0.884621151776467,,,,,
23,DEN,2,#inter,effect,-0.010213925346874167,-0.010496559400132771,-0.0022591157828662795,0.058498615574577285,-0.025686963239564077,0.025280291380329112,0.029626847672761587,0.019418073968515567,0.02242522169728666,0.02664924384123172
24,DEN,3,#inter,pv,0.976778540764698,0.7102210559967495,0.976778540764698,0.018386027792112895,0.976778540764698,,,,,
25,DEN,3,#inter,effect,-0.0008686343769259057,0.03825474472717359,-0.00293038772073052,0.05533016233313446,-0.013882534928484798,0.031927056231072865,0.035613672361622654,0.02357576152700885,0.021877028154834954,0.0377238835895719
26,DEN,4,#inter,pv,0.7811650622455211,0.7811650622455211,0.7811650622455211,0.1438975843150743,0.7811650622455211,,,,,
27,DEN,4,#inter,effect,-0.010484205312850714,-0.013446136069495034,-0.010654261320231553,0.04644871403440909,-0.01161784116651522,0.037142658083096455,0.03751470272438269,0.0255935307800741,0.02490801432670384,0.04479245087506553
28,DEN,6,#inter,pv,0.8203272312954693,0.5708599365209212,0.8203272312954693,0.3059157222056274,0.6846617459536619,,,,,
29,DEN,6,#inter,effect,0.009453802996129973,0.0660047233078652,-0.0067017203649207225,0.039303268530897564,0.045845483574479234,0.046793289549292315,0.05890500704880492,0.028662996570154663,0.024064741450364305,0.06343237911655943
30,DEH,1,#inter,pv,0.6135759746112908,0.22903770243618007,0.21181071648890681,0.9160770855398047,0.5728450683899596,,,,,
31,DEH,1,#inter,effect,0.01443478703571755,-0.04101311807699786,-0.041724034898337335,0.0023839638445117923,0.020777845288239945,0.018950093076469613,0.02561141917643945,0.022921419453801783,0.02276701758965759,0.022955786924870627
32,DEH,2,#inter,pv,0.9103889180016187,0.44157606726638593,0.20900388107771822,0.9103889180016187,0.027133503812122508,,,,,
33,DEH,2,#inter,effect,0.0034035853574403887,-0.035070661406089755,-0.043934852389289805,-0.003166744882383868,0.09997585993339508,0.02562570802392868,0.032791562602614024,0.029141844438241707,0.025382022176926686,0.03410506256772539
34,DEH,3,#inter,pv,0.825544245737336,0.49376085956908017,0.49376085956908017,0.825544245737336,0.7224169674760121,,,,,
35,DEH,3,#inter,effect,-0.010705668588280877,-0.046321369640828614,-0.040829797116238534,-0.005275634281042837,0.04510133241534039,0.029303533351583307,0.03819956331678359,0.03587443509721673,0.02622755594768805,0.054455174746037824
36,DEH,4,#inter,pv,0.5632642998681039,0.9806370141597908,0.5632642998681039,0.9806370141597908,0.5632642998681039,,,,,
